President,Fiscal Year,Petitions Pending (Pardons),Petitions Pending (Commutations),Petitions Received (Pardons),Petitions Received (Commutations),Petitions Granted,Pardons,Commutations,Remissions,Petitions Denied (Pardons),Petitions Denied (Commutations),Petitions Closed Without Presidential Action (Pardons),Petitions Closed Without Presidential Action (Commutations),Petitions Denied or Closed Without Presidential Action (Pardons),Petitions Denied or Closed Without Presidential Action (Commutations)
Lyndon B. Johnson,1967,532,109,419,444,245,222,23,0,,,,,147,373
Lyndon B. Johnson,1968,582,157,409,340,16,13,3,0,,,,,106,309
Lyndon B. Johnson,1969,872,185,278,195,0,0,0,0,,,,,129,196
Richard M. Nixon,1969,1021,184,136,115,0,0,0,0,,,,,123,57
Richard M. Nixon,1970,1034,242,337,122,96,82,14,0,,,,,432,266
Richard M. Nixon,1971,857,84,266,188,173,157,16,0,,,,,436,212
Richard M. Nixon,1972,530,44,346,170,255,235,18,2,,,,,252,158
Richard M. Nixon,1973,389,36,323,162,207,202,4,1,,,,,198,143
Richard M. Nixon,1974,312,50,291,135,195,187,8,0,,,,,209,128
Richard M. Nixon,1975,207,49,,,0,0,0,0,,,,,0,0
Gerald R. Ford,1975,207,49,351,259,156,147,5,4,,,,,166,159
Gerald R. Ford,1976,245,140,502,240,117,106,11,0,,,,,199,243
Gerald R. Ford,1977,442,126,125,50,136,129,6,1,,,,,70,63
Jimmy Carter,1977,368,106,292,271,1,0,1,0,1,0,118,49,,
Jimmy Carter,1978,541,327,379,262,165,162,3,0,307,409,74,46,,
Jimmy Carter,1979,377,131,436,274,153,143,10,0,138,123,55,132,,
Jimmy Carter,1980,477,140,355,168,166,155,8,3,150,106,161,81,,
Jimmy Carter,1981,366,108,119,71,81,74,7,0,42,35,11,18,,
Ronald Reagan,1981,358,119,220,137,2,2,0,0,0,0,66,87,,
Ronald Reagan,1982,510,169,283,179,86,83,3,0,258,123,81,85,,
Ronald Reagan,1983,371,137,298,149,93,91,2,0,74,33,96,103,,
Ronald Reagan,1984,409,147,289,158,42,37,5,0,99,31,95,101,,
Ronald Reagan,1985,467,168,256,151,35,32,3,0,86,18,66,109,,
Ronald Reagan,1986,540,188,222,140,55,55,0,0,94,28,65,103,,
Ronald Reagan,1987,548,197,227,183,23,23,0,0,115,34,52,110,,
Ronald Reagan,1988,588,236,236,148,38,38,0,0,205,43,68,181,,
Ronald Reagan,1989,513,160,68,60,32,32,0,0,38,8,23,26,,
George H.W. Bush,1989,488,186,115,130,10,9,1,0,122,22,41,112,,
George H.W. Bush,1990,432,184,206,148,0,0,0,0,94,22,59,114,,
George H.W. Bush,1991,485,196,172,146,29,29,0,0,390,198,62,31,,
George H.W. Bush,1992,180,109,174,205,0,0,0,0,45,76,40,31,,
George H.W. Bush,1993,269,207,64,106,38,36,2,0,25,111,18,8,,
William J. Clinton,1993,260,192,172,526,0,0,0,0,1,2,33,53,,
William J. Clinton,1994,392,656,228,580,0,0,0,0,175,400,74,136,,
William J. Clinton,1995,371,700,209,403,56,53,3,0,158,258,39,133,,
William J. Clinton,1996,330,709,204,308,0,0,0,0,72,139,23,137,,
William J. Clinton,1997,438,736,209,476,0,0,0,0,69,325,38,123,,
William J. Clinton,1998,540,764,201,407,21,21,0,0,54,126,37,161,,
William J. Clinton,1999,628,884,261,748,48,34,12,2,126,231,36,208,,
William J. Clinton,2000,693,1179,336,1052,76,70,6,0,0,790,61,176,,
William J. Clinton,2001,894,1259,181,988,258,218,40,0,0,116,12,32,,
George W. Bush,2001,923,2063,110,548,0,0,0,0,0,1,45,277,,
George W. Bush,2002,988,2332,152,1096,0,0,0,0,519,1466,53,240,,
George W. Bush,2003,565,1715,172,851,7,7,0,0,51,819,21,159,,
George W. Bush,2004,659,1588,235,951,14,12,2,0,108,632,42,178,,
George W. Bush,2005,733,1728,252,807,39,39,0,0,89,411,35,296,,
George W. Bush,2006,822,1829,254,759,39,39,0,0,255,779,53,315,,
George W. Bush,2007,729,1495,334,925,18,16,2,0,0,0,75,336,,
George W. Bush,2008,972,2083,555,1770,46,44,2,0,513,2182,107,360,,
George W. Bush,2009,864,1309,434,869,37,32,5,0,194,1208,33,62,,
Barack Obama,2009,1040,903,232,1086,0,0,0,0,0,0,132,120,,
Barack Obama,2010,1140,1869,262,1902,0,0,0,0,0,0,117,340,,
Barack Obama,2011,1285,3431,331,1585,17,17,0,0,872,3104,84,389,,
Barack Obama,2012,643,1523,383,1547,6,5,1,0,147,689,48,148,,
Barack Obama,2013,826,2232,303,2370,17,17,0,0,314,1577,44,240,,
Barack Obama,2014,754,2785,273,6561,22,13,9,0,154,1226,36,222,,
Barack Obama,2015,824,7889,294,2999,91,12,79,0,142,782,6,915,,
Barack Obama,2016,958,9115,998,11028,589,6,583,0,0,6507,34,1700,,
Barack Obama,2017,1920,11355,317,3473,582,78,504,0,0,600,5,168,,